"Street/Name","stationcode","Zipcode","Invited","Turnout","Turnout percentage"
"Sporthal Lewenborg","444","9733 CX","1311","589",0.449275362318841
"FC Lewenborg","445","9732 KZ","1311","651",0.496567505720824
"BSV Ruischerbrug","451","9734 AB","1311","737",0.562166285278413
"Bureau Meerstad","471","9613 CV","1311","702",0.535469107551487
"Het StrandHuis Meerstad","472","9613 BH","1311","445",0.339435545385202
"MFC Engelbert","481","9723 ER","1311","511",0.38977879481312
"Dorpshuis de Leeuw","501","9798 PA","1311","344",0.262395118230358
"Dorpshuis Trefpunt","511","9797 PD","1311","298",0.227307398932113
"Dorpshuis De Meuln","521","9796 PD","1311","101",0.0770404271548436
"Buurhoes","531","9791 CE","1311","553",0.421815408085431
"Dorpshuis Ten Boer","532","9791 LX","1311","542",0.413424866514111
"PKN Blister Ten Boer","533","9791 CP","1311","591",0.450800915331808
"Dorpshuis 't Holt","541","9792 PJ","1311","414",0.315789473684211
"Dorpshuis De Bongerd","551","9795 PE","1311","178",0.135774218154081
"Sint Martinuskerk","601","9726 EC","1311","842",0.642257818459191
"Groninger Archieven","602","9726 AD","1311","422",0.321891685736079
"Willem Lodewijk Gymnasium","606","9727 CK","1311","775",0.59115179252479
"Buurtcentrum Stadspark","607","9727 HW","1311","846",0.645308924485126
"Gymzaal Widar Vrijeschool","611","9725 KA","1311","542",0.413424866514111
"Gymzaal Widar Vrijeschool","612","9725 KA","1311","533",0.406559877955759
"FNV Vakbondshuis","613","9725 AK","1311","584",0.445461479786423
"MFC De Stroming","614","9725 KE","1311","809",0.617086193745233
"Gymzaal Verlengde Lodewijkstraat","621","9724 EK","1311","608",0.463768115942029
"Buurtcentrum Poortershoes","622","9724 CA","1311","764",0.582761250953471
"Prins Claus Conservatorium","623","9724 EM","1311","692",0.527841342486651
"BSV De Oosterpoort","624","9724 ES","1311","561",0.4279176201373
"Pandomo Makelaars","625","9723 DT","1311","662",0.504958047292143
"Tent S. Allendeplein","631","9728 TL","1311","864",0.659038901601831
"Tent S. Allendeplein","632","9728 TL","1311","920",0.701754385964912
"Tent S. Allendeplein","633","9728 TL","1311","917",0.699466056445461
"Refajahkerk","641","9728 JA","1311","455",0.347063310450038
"Magnalia Dei Kerk","642","9728 KM","1311","757",0.577421815408085
"Kerk van J.C. van de H. der Laatste Dagen","643","9728 AR","1311","512",0.390541571319603
"San Salvatorkerk","651","9721 HW","1311","1031",0.786422578184592
"Totally in Shape","652","9721 JM","1311","363",0.276887871853547
"MFC De Wijert / Helpman","653","9721 JM","1311","582",0.443935926773455
"Maranathakerk","654","9721 PE","1311","434",0.331045003813883
"Maranathakerk","655","9721 PE","1311","441",0.336384439359268
"Apostolisch Genootschap","661","9721 VN","1311","808",0.616323417238749
"Apostolisch Genootschap","662","9721 VN","1311","820",0.625476735316552
"BSV Helpman Oost","671","9722 BX","1311","582",0.443935926773455
"De Ark","672","9722 CJ","1311","531",0.405034324942792
"Helperkerk","681","9722 GJ","1311","862",0.657513348588863
"Tennispark Vorenkamp (GLTB)","682","9722 HJ","1311","980",0.747520976353928
"CVV Oranje Nassau","683","9722 BZ","1311","591",0.450800915331808
"Gemeente Groningen (locatie Harm Buiterplein)","691","9723 ZR","1311","888",0.677345537757437
"Hortus Haren","711","9751 NN","1311","751",0.572845156369184
"GHHC Groningen","712","9751 NL","1311","579",0.441647597254005
"Voormalig O.B.S. De Linde","721","9751 GA","1311","770",0.587337909992372
"Wijkpost Haren","722","9752 JT","1311","581",0.443173150266972
"Gymzaal Het Buut","723","9752 ND","1311","781",0.595728451563692
"NGK/CGK De Hoeksteen","724","9751 CN","1311","587",0.447749809305873
"Gemeentehuis Haren","725","9751 AN","1311","583",0.444698703279939
"Gemeentehuis Haren","726","9751 AN","1311","731",0.557589626239512
"Ontmoetingskerk Haren","731","9753 AV","1311","707",0.539282990083905
"Ontmoetingskerk Haren","732","9753 AV","1311","678",0.517162471395881
"MFC De Mellenshorst","733","9753 HS","1311","1075",0.81998474446987
"Dorpshuis De Tiehof","741","9755 PM","1311","405",0.308924485125858
"Dorpshuis De Groenenberg","751","9756 BZ","1311","874",0.666666666666667
"Dorpshuis De Hoeksteen","761","9479 PA","1311","353",0.269260106788711
"Jeruzalemkerk","801","9711 XB","0","172",Inf
"Gemeente Groningen (locatie Zuiderdiep)","802","9711 HL","0","496",Inf
"Columnakerk","803","9718 TJ","0","218",Inf
"De Cirkel","804","9714 AB","0","296",Inf
"Leger des Heils","805","9713 GL","0","268",Inf
"PG Elim Hoogkerk","806","9745 BT","0","210",Inf
"MFC 't Vinkhuys","807","9743 BJ","0","234",Inf
"De Fontein","808","9741 EZ","0","325",Inf
"Trefpunt Beijum","809","9737 AB","0","252",Inf
